id,name,full_name,club,club_slug,nationality,birth_date,height_cm,position,cost,rarity,is_starter,image_url,rb,a,rc,d,rg,v,pc,pl,pa,dl,rm,rf,co,zone_grid
314678-2526,DÍAZ,Brahim Díaz,Real Madrid,rma,Morocco,1999-08-03,170,FW,8,frecuente,false,https://assets.virtuafc.com/players/835485.webp,,,,2,3,3,2,,,,2,,,"[[false,false,false,true,true],[false,false,false,true,true],[false,false,false,true,true],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false]]"
342229-2526,MBAPPÉ,Kylian Mbappé,Real Madrid,rma,France,1998-12-20,180,FW,12,rara,false,https://assets.virtuafc.com/players/826643.webp,,,3,3,,2,,,,3,3,,,"[[false,true,true,true,false],[false,true,true,true,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false]]"
935230-2526,GARCÍA,Gonzalo García,Real Madrid,rma,Spain,2004-03-24,182,FW,8,frecuente,false,https://assets.virtuafc.com/players/1402716.webp,,,2,3,,2,,,,2,3,,,"[[false,true,true,true,false],[false,true,true,true,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false]]"
121483-2526,OBLAK,Jan Oblak,Atlético de Madrid,atm,Slovenia,1993-01-07,188,GK,9,frecuente,false,https://assets.virtuafc.com/players/69768.webp,,,,,,,,,,,,3,2,
242359-2526,MUSSO,Juan Musso,Atlético de Madrid,atm,Argentina,1994-05-06,191,GK,6,comun,false,https://assets.virtuafc.com/players/263651.webp,,,,,,,,,,,,3,2,
404418-2526,HANCKO,Dávid Hancko,Atlético de Madrid,atm,Slovakia,1997-12-13,188,DF,8,frecuente,false,https://assets.virtuafc.com/players/807771.webp,3,3,2,,,,,2,2,,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false]]"
844637-2526,PUBILL,Marc Pubill,Atlético de Madrid,atm,Spain,2003-06-20,190,DF,8,frecuente,false,https://assets.virtuafc.com/players/1094106.webp,3,3,2,,,,,2,2,,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false]]"
351809-2526,NORMAND,Robin Le Normand,Atlético de Madrid,atm,Spain,1996-11-11,187,DF,8,frecuente,false,https://assets.virtuafc.com/players/787751.webp,3,3,2,,,,,2,2,,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false]]"
250845-2526,GIMÉNEZ,José María Giménez,Atlético de Madrid,atm,Uruguay,1995-01-20,185,DF,7,frecuente,false,https://assets.virtuafc.com/players/325355.webp,3,2,2,,,,,2,2,,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false]]"
182904-2526,LENGLET,Clément Lenglet,Atlético de Madrid,atm,France,1995-06-17,186,DF,6,comun,false,https://assets.virtuafc.com/players/580550.webp,2,2,2,,,,,2,2,,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false]]"
616631-2526,RUGGERI,Matteo Ruggeri,Atlético de Madrid,atm,Italy,2002-07-11,187,DF,7,frecuente,false,https://assets.virtuafc.com/players/965011.webp,3,2,,,2,2,2,,,,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[true,true,false,false,false],[true,true,false,false,false],[true,true,false,false,false]]"
282411-2526,LLORENTE,Marcos Llorente,Atlético de Madrid,atm,Spain,1995-01-30,184,DF,8,frecuente,true,https://assets.virtuafc.com/players/353138.webp,3,3,,,2,2,2,,,,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,true,true],[false,false,false,true,true],[false,false,false,true,true]]"
424042-2526,MOLINA,Nahuel Molina,Atlético de Madrid,atm,Argentina,1998-04-06,175,DF,7,frecuente,false,https://assets.virtuafc.com/players/831799.webp,3,2,,,2,2,2,,,,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,true,true],[false,false,false,true,true],[false,false,false,true,true]]"
775605-2526,BARRIOS,Pablo Barrios,Atlético de Madrid,atm,Spain,2003-06-15,181,MF,9,rara,true,https://assets.virtuafc.com/players/1142588.webp,,2,,,3,,3,3,,2,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false],[false,false,false,false,false],[false,false,false,false,false]]"
689505-2526,CARDOSO,Johnny Cardoso,Atlético de Madrid,atm,United States,2001-09-20,186,MF,7,frecuente,false,https://assets.virtuafc.com/players/990169.webp,,2,,,2,,3,2,,2,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false],[false,false,false,false,false],[false,false,false,false,false]]"
961297-2526,MENDOZA,Rodrigo Mendoza,Atlético de Madrid,atm,Spain,2005-03-15,182,MF,7,frecuente,false,https://assets.virtuafc.com/players/1391752.webp,,2,,,2,,3,2,,2,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false],[false,false,false,false,false],[false,false,false,false,false]]"
889435-2526,VARGAS,Obed Vargas,Atlético de Madrid,atm,Mexico,2005-08-05,175,MF,6,comun,false,https://assets.virtuafc.com/players/1119345.webp,,2,,,2,,2,2,,2,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false],[false,false,false,false,false],[false,false,false,false,false]]"
74229-2526,KOKE,Koke,Atlético de Madrid,atm,Spain,1992-01-08,176,MF,7,frecuente,false,https://assets.virtuafc.com/players/84539.webp,,2,,,2,,3,2,,2,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false],[false,false,false,false,false],[false,false,false,false,false]]"
548111-2526,BAENA,Álex Baena,Atlético de Madrid,atm,Spain,2001-07-20,174,FW,8,frecuente,false,https://assets.virtuafc.com/players/910031.webp,,,,2,3,3,2,,,,2,,,"[[true,true,false,false,false],[true,true,false,false,false],[true,true,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false]]"
486031-2526,GONZÁLEZ,Nico González,Atlético de Madrid,atm,Argentina,1998-04-06,180,FW,8,frecuente,false,https://assets.virtuafc.com/players/901325.webp,,,,2,3,3,2,,,,2,,,"[[true,true,false,false,false],[true,true,false,false,false],[true,true,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false]]"
576028-2526,ALMADA,Thiago Almada,Atlético de Madrid,atm,Argentina,2001-04-26,171,FW,7,frecuente,false,https://assets.virtuafc.com/players/944660.webp,,,,2,2,3,2,,,,2,,,"[[true,true,false,false,false],[true,true,false,false,false],[true,true,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false]]"
742201-2526,SIMEONE,Giuliano Simeone,Atlético de Madrid,atm,Argentina,2002-12-18,173,FW,8,frecuente,true,https://assets.virtuafc.com/players/1099352.webp,,,,2,3,3,2,,,,2,,,"[[false,false,false,true,true],[false,false,false,true,true],[false,false,false,true,true],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false]]"
406040-2526,LOOKMAN,Ademola Lookman,Atlético de Madrid,atm,Nigeria,1997-10-20,174,FW,8,frecuente,false,https://assets.virtuafc.com/players/824200.webp,,,,3,2,,2,,,2,3,,,"[[false,true,true,true,false],[false,true,true,true,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false]]"
125781-2526,GRIEZMANN,Antoine Griezmann,Atlético de Madrid,atm,France,1991-03-21,176,FW,8,frecuente,false,https://assets.virtuafc.com/players/85859.webp,,,,3,2,,2,,,2,3,,,"[[false,true,true,true,false],[false,true,true,true,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false]]"
576024-2526,ALVAREZ,Julián Alvarez,Atlético de Madrid,atm,Argentina,2000-01-31,170,FW,10,rara,false,https://assets.virtuafc.com/players/944656.webp,,,3,3,,2,,,,3,3,,,"[[false,true,true,true,false],[false,true,true,true,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false]]"
238407-2526,SØRLOTH,Alexander Sørloth,Atlético de Madrid,atm,Norway,1995-12-05,195,FW,8,frecuente,false,https://assets.virtuafc.com/players/309078.webp,,,2,3,,2,,,,2,3,,,"[[false,true,true,true,false],[false,true,true,true,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false]]"
417913-2526,VALLES,Álvaro Valles,Real Betis Balompié,bet,Spain,1997-07-25,191,GK,7,frecuente,true,https://assets.virtuafc.com/players/964983.webp,,,,,,,,,,,,3,2,
286415-2526,LÓPEZ,Pau López,Real Betis Balompié,bet,Spain,1994-12-13,189,GK,6,comun,false,https://assets.virtuafc.com/players/548848.webp,,,,,,,,,,,,2,2,
71271-2526,MIGUEL,Adrián San Miguel,Real Betis Balompié,bet,Spain,1987-01-03,190,GK,5,comun,false,https://assets.virtuafc.com/players/50539.webp,,,,,,,,,,,,2,2,
735568-2526,NATAN,Natan,Real Betis Balompié,bet,Brazil,2001-02-06,188,DF,8,frecuente,false,https://assets.virtuafc.com/players/1015287.webp,3,3,2,,,,,2,2,,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false]]"
985383-2526,GÓMEZ,Valentín Gómez,Real Betis Balompié,bet,Argentina,2003-06-26,181,DF,7,frecuente,true,https://assets.virtuafc.com/players/1186010.webp,3,2,2,,,,,2,2,,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false]]"
246291-2526,LLORENTE,Diego Llorente,Real Betis Balompié,bet,Spain,1993-08-16,186,DF,6,comun,false,https://assets.virtuafc.com/players/305278.webp,2,2,2,,,,,2,2,,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false]]"
99922-2526,BARTRA,Marc Bartra,Real Betis Balompié,bet,Spain,1991-01-15,184,DF,5,comun,false,https://assets.virtuafc.com/players/99519.webp,2,2,2,,,,,2,2,,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false]]"
374139-2526,FIRPO,Junior Firpo,Real Betis Balompié,bet,Dominican Republic,1996-08-22,184,DF,6,comun,false,https://assets.virtuafc.com/players/914835.webp,2,2,,,2,2,2,,,,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[true,true,false,false,false],[true,true,false,false,false],[true,true,false,false,false]]"
86784-2526,RODRÍGUEZ,Ricardo Rodríguez,Real Betis Balompié,bet,Switzerland,1992-08-25,182,DF,5,comun,false,https://assets.virtuafc.com/players/67769.webp,2,2,,,2,2,2,,,,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[true,true,false,false,false],[true,true,false,false,false],[true,true,false,false,false]]"
933908-2526,ORTIZ,Ángel Ortiz,Real Betis Balompié,bet,Spain,2004-07-25,167,DF,5,comun,false,https://assets.virtuafc.com/players/1152139.webp,2,2,,,2,2,2,,,,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,true,true],[false,false,false,true,true],[false,false,false,true,true]]"
191217-2526,BELLERÍN,Héctor Bellerín,Real Betis Balompié,bet,Spain,1995-03-19,178,DF,5,comun,false,https://assets.virtuafc.com/players/188365.webp,2,2,,,2,2,2,,,,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,true,true],[false,false,false,true,true],[false,false,false,true,true]]"
287579-2526,AMRABAT,Sofyan Amrabat,Real Betis Balompié,bet,Morocco,1996-08-21,185,MF,7,frecuente,false,https://assets.virtuafc.com/players/359272.webp,3,2,,,2,,2,2,,,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false],[false,false,false,false,false]]"
336869-2526,ROCA,Marc Roca,Real Betis Balompié,bet,Spain,1996-11-26,184,MF,6,comun,false,https://assets.virtuafc.com/players/847128.webp,2,2,,,2,,2,2,,,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false],[false,false,false,false,false]]"
466801-2526,ALTIMIRA,Sergi Altimira,Real Betis Balompié,bet,Spain,2001-08-25,188,MF,7,frecuente,false,https://assets.virtuafc.com/players/1137814.webp,,2,,,2,,3,2,,2,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false],[false,false,false,false,false],[false,false,false,false,false]]"
261503-2526,FIDALGO,Álvaro Fidalgo,Real Betis Balompié,bet,Mexico,1997-04-09,174,MF,6,comun,false,https://assets.virtuafc.com/players/838629.webp,,2,,,2,,3,2,,2,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false],[false,false,false,false,false],[false,false,false,false,false]]"
907559-2526,DEOSSA,Nelson Deossa,Real Betis Balompié,bet,Colombia,2000-02-06,185,MF,6,comun,false,https://assets.virtuafc.com/players/1129401.webp,,2,,,2,,2,2,,2,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false],[false,false,false,false,false],[false,false,false,false,false]]"
357885-2526,FORNALS,Pablo Fornals,Real Betis Balompié,bet,Spain,1996-02-22,178,MF,6,comun,false,https://assets.virtuafc.com/players/816763.webp,,2,,,2,,3,2,,2,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false],[false,false,false,false,false],[false,false,false,false,false]]"
348795-2526,CELSO,Giovani Lo Celso,Real Betis Balompié,bet,Argentina,1996-04-09,177,MF,7,frecuente,true,https://assets.virtuafc.com/players/798835.webp,,,,2,2,,3,2,,2,,,,"[[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false]]"
85288-2526,ISCO,Isco,Real Betis Balompié,bet,Spain,1992-04-21,176,MF,6,comun,false,https://assets.virtuafc.com/players/103417.webp,,,,2,2,,3,2,,2,,,,"[[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false]]"
724520-2526,EZZALZOULI,Abde Ezzalzouli,Real Betis Balompié,bet,Morocco,2001-12-17,177,FW,8,frecuente,false,https://assets.virtuafc.com/players/1011375.webp,,,,2,3,3,2,,,,2,,,"[[true,true,false,false,false],[true,true,false,false,false],[true,true,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false]]"
461617-2526,RIQUELME,Rodrigo Riquelme,Real Betis Balompié,bet,Spain,2000-04-02,174,FW,6,comun,false,https://assets.virtuafc.com/players/989113.webp,,,,2,2,2,2,,,,2,,,"[[true,true,false,false,false],[true,true,false,false,false],[true,true,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false]]"
602105-2526,ANTONY,Antony,Real Betis Balompié,bet,Brazil,2000-02-24,172,FW,8,frecuente,false,https://assets.virtuafc.com/players/958380.webp,,,,2,3,3,2,,,,2,,,"[[false,false,false,true,true],[false,false,false,true,true],[false,false,false,true,true],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false]]"
961087-2526,GARCÍA,Pablo García,Real Betis Balompié,bet,Spain,2006-06-13,175,FW,6,comun,false,https://assets.virtuafc.com/players/1893910.webp,,,,2,2,2,2,,,,2,,,"[[false,false,false,true,true],[false,false,false,true,true],[false,false,false,true,true],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false]]"
378139-2526,RUIBAL,Aitor Ruibal,Real Betis Balompié,bet,Spain,1996-03-22,176,FW,6,comun,false,https://assets.virtuafc.com/players/893062.webp,,,,2,2,2,2,,,,2,,,"[[false,false,false,true,true],[false,false,false,true,true],[false,false,false,true,true],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false]]"
459463-2526,HERNÁNDEZ,Cucho Hernández,Real Betis Balompié,bet,Colombia,1999-04-20,176,FW,7,frecuente,false,https://assets.virtuafc.com/players/887055.webp,,,2,2,,2,,,,2,3,,,"[[false,true,true,true,false],[false,true,true,true,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false]]"
167721-2526,ÁVILA,Chimy Ávila,Real Betis Balompié,bet,Argentina,1994-02-06,172,FW,5,comun,false,https://assets.virtuafc.com/players/789381.webp,,,2,2,,2,,,,2,2,,,"[[false,true,true,true,false],[false,true,true,true,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false]]"
127048-2526,BAKAMBU,Cédric Bakambu,Real Betis Balompié,bet,DR Congo,1991-04-11,182,FW,5,comun,false,https://assets.virtuafc.com/players/115665.webp,,,2,2,,2,,,,2,2,,,"[[false,true,true,true,false],[false,true,true,true,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false]]"
561613-2526,GARCÍA,Joan García,FC Barcelona,fcb,Spain,2001-05-04,194,GK,10,rara,false,https://assets.virtuafc.com/players/930267.webp,,,,,,,,,,,,3,3,
44058-2526,SZCZĘSNY,Wojciech Szczęsny,FC Barcelona,fcb,Poland,1990-04-18,195,GK,6,comun,false,https://assets.virtuafc.com/players/50490.webp,,,,,,,,,,,,2,2,
938144-2526,KOCHEN,Diego Kochen,FC Barcelona,fcb,United States,2006-03-19,190,GK,4,comun,false,https://assets.virtuafc.com/players/1402907.webp,,,,,,,,,,,,2,2,
962110-2526,CUBARSÍ,Pau Cubarsí,FC Barcelona,fcb,Spain,2007-01-22,184,DF,8,frecuente,false,https://assets.virtuafc.com/players/1402913.webp,3,3,2,,,,,2,2,,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false]]"
466794-2526,GARCÍA,Eric García,FC Barcelona,fcb,Spain,2001-01-09,182,DF,8,frecuente,false,https://assets.virtuafc.com/players/876214.webp,3,3,2,,,,,2,2,,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false]]"
480267-2526,ARAUJO,Ronald Araujo,FC Barcelona,fcb,Uruguay,1999-03-07,192,DF,7,frecuente,false,https://assets.virtuafc.com/players/925097.webp,3,2,2,,,,,2,2,,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false]]"
196948-2526,CHRISTENSEN,Andreas Christensen,FC Barcelona,fcb,Denmark,1996-04-10,187,DF,7,frecuente,false,https://assets.virtuafc.com/players/186795.webp,3,2,2,,,,,2,2,,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false]]"
636688-2526,BALDE,Alejandro Balde,FC Barcelona,fcb,Spain,2003-10-18,177,DF,9,frecuente,false,https://assets.virtuafc.com/players/997035.webp,3,3,,,2,2,2,,,,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[true,true,false,false,false],[true,true,false,false,false],[true,true,false,false,false]]"
